util_linhas_inseguras,idade,vezes_passou_de_30_59_dias,razao_debito,salario_mensal,numero_linhas_crdto_aberto,numero_vezes_passou_90_dias,numero_emprestimos_imobiliarios,numero_de_vezes_que_passou_60_89_dias,numero_de_dependentes,score_1,score_2,score_3,score_4,inadimplente
0.16318067,40.0,0,0.12187620099999999,2600.0,4,0.0,0,0.0,1.0,x,550,d,550.0,0
0.23380977600000002,30.0,0,0.036049682,3300.0,5,0.0,0,0.0,0.0,u,55,b,532.0,0
0.9072394,49.0,1,0.024925695,63588.0,7,0.0,1,0.0,0.0,o,41,g,41.0,0
0.189169052,49.0,0,0.606290901,5000.0,9,0.0,4,0.0,2.0,o,423,f,929.0,0
0.061086117999999995,49.0,0,2058.0,5000.0,10,0.0,2,0.0,0.0,y,239,b,477.0,0
0.075426584,49.0,0,0.085512189,7916.0,6,0.0,0,0.0,0.0,x,258,f,680.0,0
0.04656027,49.0,0,0.241621845,5000.0,9,0.0,1,0.0,0.0,e,526,b,526.0,0
0.45251582799999995,49.0,0,0.011761246999999999,5000.0,1,0.0,0,0.0,0.0,i,751,d,751.0,0
0.39299458600000003,49.0,2,0.436102527,5500.0,15,0.0,1,0.0,0.0,u,633,f,534.0,0
0.083418009,49.0,0,977.0,5000.0,6,0.0,1,0.0,0.0,h,183,b,183.0,0
0.16318067,26.0,0,0.00999001,5000.0,1,0.0,0,0.0,0.0,w,665,d,843.0,0
0.16318067,81.0,0,75.0,5000.0,7,0.0,0,0.0,0.0,i,625,d,927.0,0
0.000602723,70.0,0,0.177787036,16800.0,12,0.0,1,0.0,2.0,x,597,g,440.0,0
0.818977517,49.0,0,3095.0,0.0,9,0.0,1,1.0,0.0,h,709,g,709.0,0
0.750873672,49.0,2,0.316416365,5000.0,17,0.0,1,0.0,1.0,g,220,d,220.0,1
0.0042640790000000005,31.0,0,0.11144427800000001,5000.0,6,1.0,0,0.0,2.0,o,33,g,33.0,0
0.26948375,64.0,0,0.16106176,5000.0,13,0.0,1,0.0,3.0,g,248,d,248.0,0
0.265898391,36.0,0,0.262611807,8384.0,6,0.0,2,0.0,1.0,d,67,g,639.0,0
0.142013011,67.0,0,1824.0,5000.0,7,0.0,2,0.0,0.0,f,571,d,571.0,0
0.16318067,49.0,1,0.182881653,10257.0,9,0.0,2,0.0,3.0,g,693,g,693.0,0
0.270522569,49.0,0,2.797698945,1042.0,11,0.0,2,0.0,2.0,b,442,b,442.0,0
0.039387786,51.0,0,15466.0,0.0,7,0.0,0,0.0,0.0,o,578,c,578.0,0
0.16318067,32.0,0,0.48052395700000006,5000.0,4,0.0,1,0.0,0.0,p,753,c,753.0,0
0.0031088490000000003,57.0,0,0.258939285,5000.0,7,0.0,1,0.0,0.0,x,179,c,514.0,0
0.16318067,49.0,0,0.026235802000000003,5000.0,6,0.0,0,0.0,3.0,x,307,d,307.0,0
0.6354151570000001,32.0,0,0.519493502,5000.0,4,0.0,1,0.0,1.0,p,719,g,719.0,0
0.9999998999999999,49.0,0,0.664221287,5000.0,8,0.0,3,0.0,0.0,k,276,d,276.0,0
0.16318067,49.0,0,1.3826291080000002,5000.0,26,0.0,4,0.0,0.0,u,231,d,231.0,0
0.18698753399999998,49.0,0,0.023993145,5000.0,4,0.0,0,0.0,0.0,p,375,g,375.0,0
0.16318067,68.0,0,0.108089191,5000.0,10,0.0,2,0.0,1.0,i,353,d,353.0,0
0.06790706,46.0,0,0.149103029,5000.0,6,0.0,2,0.0,0.0,b,505,c,505.0,0
0.033461782,44.0,0,1.243362832,5000.0,5,0.0,2,0.0,1.0,h,175,f,175.0,0
0.16318067,49.0,0,269.0,5000.0,4,0.0,0,0.0,0.0,o,191,c,191.0,0
0.015271802,68.0,0,0.12290366,8168.0,6,0.0,0,0.0,0.0,u,58,c,58.0,0
0.51712072,31.0,0,0.123752495,500.0,3,0.0,0,0.0,0.0,h,60,d,60.0,0
0.31797579600000003,34.0,0,0.297933792,5000.0,11,0.0,2,0.0,0.0,h,83,d,83.0,0
